iteration,encrypt_ms,decrypt_ms,storage_ms,total_software_ms
0,3.301900,10.861400,1.311100,5.389200
1,2.565100,8.959400,1.051300,5.029600
2,3.470400,10.512300,0.518900,5.029600
3,2.510100,7.825100,1.051700,5.313300
4,2.711200,9.020500,1.351500,5.330600
5,3.417400,9.265700,1.035200,5.496500
6,2.522600,7.533000,1.516800,5.612800
7,2.752900,8.935500,1.554700,5.856900
8,4.604000,7.507300,2.549100,8.245600
9,2.506300,8.044300,0.562300,4.940800
10,2.483100,8.339500,1.053700,4.918000
11,2.607200,8.585000,1.093600,5.934500
12,2.668000,8.884600,2.102300,5.766900
13,2.564600,7.957600,0.520500,5.375500
14,2.658100,8.744000,1.621600,5.501900
15,3.178300,9.258600,1.036900,5.777900
16,3.005100,8.016100,1.091400,5.565100
17,2.571300,8.367300,1.068300,5.143800
18,3.689200,8.395600,1.045500,7.991700
19,2.531700,8.587200,1.599900,5.352600
20,3.212300,9.173900,1.046500,4.664800
21,3.452900,7.994600,0.524100,7.495800
22,3.132800,7.745300,1.072400,5.874000
23,5.000000,8.999700,1.667100,9.000400
24,3.000100,7.999900,2.000700,5.000100
25,4.618600,9.143300,0.560500,7.930300
26,2.575200,7.929300,1.071000,5.251200
27,2.511900,7.525300,1.732600,5.529500
28,2.851900,8.111700,1.369800,5.326600
29,2.663000,7.754900,1.554200,5.368600
30,2.693300,8.347500,1.045500,5.551700
31,2.503800,8.244900,0.512800,5.440500
32,2.609800,8.425500,1.047600,5.417800
33,4.505300,9.000300,1.530100,9.043600
34,1.999000,8.760100,0.517600,5.999400
35,2.000200,7.998300,2.001500,5.001800
36,2.627800,8.273200,1.521200,5.644100
37,2.497900,8.621000,1.051500,5.181200
38,3.330200,8.036300,1.058200,5.354500
39,2.673200,8.321600,15.985400,5.476400
40,2.003000,8.997800,0.533400,5.001900
41,2.846000,9.012700,0.998200,20.896200
42,2.205800,7.923600,16.129900,5.894400
43,3.294500,9.230900,2.105700,5.855900
44,2.616700,8.466800,1.047300,5.877100
45,2.584400,8.647900,0.523500,5.224000
46,2.845600,8.411600,0.523600,6.024800
47,3.277500,8.257400,1.060800,5.361800
48,3.161200,8.192600,0.000000,5.440400
49,3.000100,7.999200,0.000000,5.000300
