group_size,iteration,encrypt_duration_ms,add_member_duration_ms
2,0,0.000000,1.818700
2,1,0.558500,1.818700
2,2,0.000000,1.818700
2,3,0.564200,1.818700
2,4,0.602300,1.818700
2,5,0.000000,1.818700
2,6,0.606600,1.818700
2,7,0.000000,1.818700
2,8,0.000000,1.818700
2,9,0.580800,1.818700
2,10,0.000000,1.818700
2,11,0.000000,1.818700
2,12,0.000000,1.818700
2,13,0.525000,1.818700
2,14,0.000000,1.818700
2,15,0.561700,1.818700
2,16,0.000000,1.818700
2,17,0.000000,1.818700
2,18,0.529700,1.818700
2,19,0.000000,1.818700
2,20,0.000000,1.818700
2,21,0.504800,1.818700
2,22,0.010700,1.818700
2,23,0.000000,1.818700
2,24,0.000000,1.818700
2,25,0.570600,1.818700
2,26,0.000000,1.818700
2,27,0.000000,1.818700
2,28,0.000000,1.818700
2,29,0.609100,1.818700
10,0,1.043200,1.789900
10,1,0.538000,1.789900
10,2,0.000000,1.789900
10,3,0.612700,1.789900
10,4,0.700800,1.789900
10,5,0.000000,1.789900
10,6,0.523900,1.789900
10,7,0.530300,1.789900
10,8,0.000000,1.789900
10,9,0.736900,1.789900
10,10,0.536400,1.789900
10,11,0.000000,1.789900
10,12,0.587500,1.789900
10,13,0.000000,1.789900
10,14,0.583900,1.789900
10,15,0.000000,1.789900
10,16,0.512500,1.789900
10,17,0.000000,1.789900
10,18,0.517300,1.789900
10,19,0.523700,1.789900
10,20,0.000000,1.789900
10,21,0.575100,1.789900
10,22,0.000000,1.789900
10,23,0.664700,1.789900
10,24,0.000000,1.789900
10,25,0.604400,1.789900
10,26,0.000000,1.789900
10,27,0.621800,1.789900
10,28,0.000000,1.789900
10,29,0.615100,1.789900
50,0,1.039200,3.415300
50,1,0.532500,3.415300
50,2,7.121500,3.415300
50,3,0.514100,3.415300
50,4,1.059100,3.415300
50,5,0.543900,3.415300
50,6,0.570600,3.415300
50,7,0.513100,3.415300
50,8,0.515600,3.415300
50,9,0.515800,3.415300
50,10,0.539600,3.415300
50,11,0.542600,3.415300
50,12,0.509400,3.415300
50,13,0.556600,3.415300
50,14,0.519700,3.415300
50,15,0.518100,3.415300
50,16,0.584100,3.415300
50,17,0.524300,3.415300
50,18,0.539300,3.415300
50,19,0.533000,3.415300
50,20,0.534500,3.415300
50,21,0.527500,3.415300
50,22,0.519900,3.415300
50,23,0.529100,3.415300
50,24,0.516200,3.415300
50,25,0.518100,3.415300
50,26,0.522400,3.415300
50,27,0.522900,3.415300
50,28,0.563000,3.415300
50,29,0.522600,3.415300
100,0,0.509300,5.838100
100,1,1.295300,5.838100
100,2,23.197800,5.838100
100,3,1.556400,5.838100
100,4,1.074800,5.838100
100,5,0.557800,5.838100
100,6,11.111900,5.838100
100,7,1.031900,5.838100
100,8,1.583900,5.838100
100,9,0.733700,5.838100
100,10,0.836800,5.838100
100,11,11.375100,5.838100
100,12,1.379200,5.838100
100,13,0.728400,5.838100
100,14,1.547700,5.838100
100,15,11.961100,5.838100
100,16,1.597000,5.838100
100,17,1.149200,5.838100
100,18,1.029000,5.838100
100,19,1.042300,5.838100
100,20,0.828800,5.838100
100,21,1.029900,5.838100
100,22,1.037400,5.838100
100,23,1.039700,5.838100
100,24,1.059800,5.838100
100,25,1.043600,5.838100
100,26,1.040900,5.838100
100,27,0.752200,5.838100
100,28,1.110500,5.838100
100,29,15.697800,5.838100
250,0,2.110100,11.318700
250,1,2.232700,11.318700
250,2,2.181900,11.318700
250,3,2.667200,11.318700
250,4,2.002800,11.318700
250,5,1.885500,11.318700
250,6,1.550500,11.318700
250,7,2.703000,11.318700
250,8,1.874900,11.318700
250,9,1.881500,11.318700
250,10,1.932200,11.318700
250,11,2.375400,11.318700
250,12,2.083600,11.318700
250,13,1.913300,11.318700
250,14,2.079300,11.318700
